taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	marker.44	marker.45	marker.46	marker.47	
Abrothrix jelskii																												AY277442							AJ005771				AJ005782		AY275114					GU564084			
Melanomys caliginosus				EU648995																JF491458								EU273421													GU126518					EU340021			
Mesocricetus brandti																																		EU886369				AM904652	AY997822	AM000039						AM904629			
Eothenomys melanogaster																			GU001562	HM165323								AY163583																	AM392399	HM165423			
Eothenomys smithii					AB086035									AB521027		AB037323																														AB037316		HM215591	
Euryoryzomys macconnelli																				JQ601276								AY163620											JF693833		U58379					EU579484			
Dicrostonyx groenlandicus						AF515781														JF456462																AF128937		AF121833								AF119268			
Phyllotis darwini																											AY963217											AY007360			U86819				AF332023	AY956726			
Deltamys kempi													EF206816							GU938917								AY277444													AY195861					EF206806			
Sooretamys angouya																				GU938962								EU649072											JF693869		EF455046					EU579512			
Megadontomys thomasi											AY994208																	EF989850				FJ214693													EF989749	HQ538501			
Lemmus sibiricus									GQ267503																			AM919402															AF348386		AM392398	AY219144			
Akodon cursor			AF254383										EF206820															EF626797													AF184050					AF184051			
Oligoryzomys microtis	EU192191						AY041736	AY042081																				EU649066													U58381					AY439000			
Zygodontomys brevicauda																				JF492743								EU649075											JF693873		GU397414					EU579521			
Podomys floridanus											AY994214																	EF989878				FJ214724												U83865	EF989777	DQ973110			
Neodon irene																				HQ318706						AY241506	AY241464	JF906136																	AM392393	AM392370			
Onychomys arenicola																									AY269975			EF989855				AY274204							X89782						EF989833	AY195793			
Euryoryzomys nitidus							AY041692	AY042077																				EU649041													U58383					EU579485	AY041268		
Transandinomys talamancae	EU192192																			JF492273								EU649074											JF693872		EU192166					EU579514			
Habromys lophurus																				JF444501								EF989843																DQ793091	EF989743	DQ861397			
Handleyomys rostratus				EU648985																JQ600268								AY163622											JF693837		GU126541					EU579492			
Thomasomys baeops							AY041814	AY041804																				AY163642											JF693871							DQ914654	AY041226		
Phyllotis xanthopygus							AY041934	AY041901																				AY163632													HM167909					U86833	AY041577		
Graomys griseoflavus																											AY963181	EU649037										EF672522			HM167883					EU579472			
Hylaeamys yunganus				DQ207946																JF492334								AY163629											JF693840		AF251520					EU579500			
Reithrodon auritus																										AY294992	AY294963	AY163634													HM167929				AY294930	EU579474			
Calomys lepidus																										AY294995	AY294966	AY163580													AF159294				AY294931	AF385605			
Nyctomys sumichrasti							AY041757													JF444680								AY163603											JF693851							AY195801	AY041438		
Tscherskia triton																				KC152882																	AY683091		AY997827	AM000047						AJ973388			
Peromyscus pectoralis											AY994221									JF444981				AY263540								FJ214716														AY322511			
Myodes andersoni					AB086030									AB521026																								AB728573							AM392391	AB104503		HM215592	
Lasiopodomys brandtii									FN401371														JX046718					JF906134																	GQ142008	JF906120			
Lagurus lagurus									GQ267508			FJ411212																					DQ156956												GQ142003	AF429818			
Oryzomys couesi				GQ178263																JF492027								EU273429											JF693863		EF989966				EF989766	DQ185383			
Ochrotomys nuttalli																									AY269974			EF989862				AY274203							JN393218					U83830	EF989762	AY195798			
Nephelomys albigularis							AY041958	AY041654												JF491767								EU649057											JF693848							DQ224407	AY041457		
Reithrodontomys megalotis																				JF446237								EF989909				HQ269795												U83831	EF989809	AF176248			
Habromys lepturus											AY994239									JF446127								EF989840				FJ214701												DQ793105	EF989742	DQ861388			
Isthmomys pirrensis											FJ214668									JF459457								EF989847				FJ214692												U83859	EF989748	FJ214681			
Microryzomys minutus							AY041890	AY041876																				AY163592											JF693843		U58387					EU258535	AY041385		
Phenacomys intermedius																				JF457085	FN433520							AM919407								AF128934		DQ198847							AM392377	AF119260			
Akodon azarae																FN547814				GU938912	X74082							EF626798													AY702963					DQ444328			
Holochilus brasiliensis	EU192193						AY041786	AY041755																				EU273418											JF693838		EU192174					EU579496	AY041347		
Scotinomys teguina							AY041751													JF446275					AY269984			AY163639				AY274214												U83828	EF989827	JN851815			
Calomys callosus							AY042071	AY042070																				AY277440													AY439001					AY033184	AY041323		
Neotomodon alstoni											AY994210									JF446055					AY269973			EF989851				AY274202												JN885475	EF989751	AY195796			
Neotoma goldmani											AY817656																				DQ179727	DQ180027							DQ179677							DQ179827			
Dicrostonyx torquatus									GQ267505	AJ275592																														AJ402708					AM392381	AF119275			
Pan troglodytes		AY017016															HM763238	HM763124	AB296236																							AF535050							
Pan paniscus		AY017017															HM763236	HM763123	AB296237																							HM763828							
Baiomys taylori											AY994205									JQ600060					AY269983			EF989838				AY274213												U83829	EF989738	AF548471			
Oryzomys palustris				DQ207949			AY041801	AY041788																	AY269988			EU273431											JF693864		GU126539					DQ185382	AY041290		
Neacomys spinosus							AY041650	AY041898												JF444352								AY163597											JF693846		U58391					EU579504	AY041401		
Hodomys alleni											AY994206														AY269968						DQ179710	DQ180010							DQ179660							DQ179810			
Nectomys squamipes				EU649005			AY041949	AY041653					FJ361099							JF491604								AY163598											JF693847		AF181283					EU340012	AY041415		
Osgoodomys banderanus											AY994231									JF446097					AY269977			EF989857				AY274206							U67295					U83860	EF989756	FJ214682			
Xenomys nelsoni											AY817628														AY269972						DQ179713	DQ180013							DQ179663							AF307838			
Tylomys nudicaudus																				JF446280					AY269986			AY163643			DQ179712	AY274217							DQ179662						AY294933	DQ179812			
Onychomys leucogaster																				JF444970					AY269976			EF989860				AY274205							X89889					U83858	EF989758	AY195794			
Neotoma cinerea											AY817635									JF456973					AY269970						DQ179759	DQ180055						AF337662	DQ179709							JN593141			
Ototylomys phyllotis																				JQ600276					AY269985			EF989865			DQ179714	AY274216							DQ179664						EF989764	AY009789			
Cricetulus migratorius									AH005249											JF446102						AY294986	AY294956												AY997837	AM000046					AY294926	AY288508			
Ondatra zibethicus												FJ411232								JF456977						AY294983	AY294953	AM919417					AY490650			AF128944									AY294925	AF119277			
Peromyscus mexicanus										DQ668090									DQ482883	JQ600116					AY269981			EF989892				HQ269798												JN885471	EF989791	AY376425			
Arvicola amphibius									GQ267511						EU176002	FN433499				AY332681	AJ132882	GU954398	EF660509					AY277407								AF128938									AM392380	AF119269		HM215599	
Chionomys nivalis									U72301	U72302					GU954342	FN433493				AY332687	Y10322	GU954376						JX457673	HQ901927	HQ901972								JX996086							AM392378	AM392367		HM215595	
Cricetus cricetus													JN633329				JN633198	JN633504										AY277410			EU107522						JN633691	EU016110	AY997834	AM000051		JN633383				AY275109	HQ386006		
Phodopus roborovskii										AJ275577																												GU812889	AY997825	AM000050						GU797466			
Sigmodon hispidus							AY042021	AY041997												JF492667				AY263548	AY269989	AY241507	AY241465	EU635707						AF117325					X89788		EF990026				AF540641	AF425209		FJ475829	
Phodopus sungorus						AF271263	AY041664													JF444392						AY294984	AY294954	AY163631						EU886368					AY997824	AM000049					AF540640	EU677454			
Cricetulus griseus													AY011942				AY011581	AY011645		EF568628					JN414502	AF519453		AB033705			S62235		AY490648				AY011272			AM000044		AY011463			JN414756	AB033693		AF113614	
Myodes glareolus			JN701897		JF930097				JF807928						EU176004					JF499322	AJ132883		EF469843					JX457707					AY490625			AF128941		AF364672		AJ402709					AM392384	FJ881416		HM215589	
Mesocricetus auratus						X73138				AJ275582		FJ411229					AB525754			JF444322	AF047166					AY294985	AY294955	AB164047					AY528865	EF139168			X03804	AM904615	D89009	AM000038		FJ645258			AF540632	AF119265			
