taxon	cytb	COI	CREM	CREM.1	PLCB4	ADORA3	Tcf25	vWf	Bmp4	sry	cytochrome-c-oxidase-subunit-II	control-region	BMI1	cytb.1	MGF	THY	PRKC1	12S-ribosomal-RNA	BDNF	CNR1	Rag2	ApoB	BRCA1	control-region.1	cytochrome-b	DBY	ApoB.1	RAG1	cytb.2	12S-ribosomal-RNA.1	BRCA1.1	unknown	STAT5A	adra2b	GHR	16S-ribosomal-RNA	unknown.1	RH1	cytochrome-b.1	von-Willebrand-factor	ND2	ND2.1	PRNP	HBD2	ND5	ND2.2	ApoB.2	12S-ribosomal-RNA.2	cytb.3	control-region.2	COI.1	SP-C	ENAM	RAG1.1	HBA2	HBD1	
Euroscaptor mizura							AB638559		AB638591					AB037605														AB176543	AB076828																												
Sylvisorex ollula																													DQ630398	AY691820						AF253956						AY691837					EF524998										
Crocidura nimbae																DQ309832	DQ309839												EF524597							EF524811											EF524930										
Paraechinus aethiopicus					AY451989								AY986739						AY986748										HQ857537																	HQ857519											
Myosorex sclateri															DQ317929														DQ630436			EU652005	EU652019			DQ630377											DQ630172										
Neomys anomalus																		AF182178				DQ630160							DQ991049		DQ630244								AF182182									EF027276									
Sylvisorex johnstoni				AY451982																									DQ630392	AY691815						AF252511						AY691832					EF525017										
Anourosorex yamashinai		GU981211																				GU981107							AB175088	GU981015	GU981182														GU981395												
Mogera tokudae							AB638560	AB638574	AB638592					AB037608														AB106243	AB638532					AB638535																							
Galemys pyrenaicus			AY833411			AY833418															AY833414		AY121757					AY833415						AY121767						AY121763																	
Anourosorex squamipes		JQ600027																			GU981440	GU981106							AB175090	GU981014	GU981181														GU981394												
Hylomys suillus		JF459627			AY451987														AY986747								DQ630204		HQ857523					AJ505819							HQ857505		AY133044														
Chodsigoa sodalis		GU981223																			GU981449								AB127978		GU981191											GU981316			GU981408		GU981116										
Chodsigoa hypsibia		GU981214																			GU981444								GU981260		GU981185											GU981306			GU981400		GU981110										
Chimarrogale himalayica		GU981218																			GU981445								AB175094	GU981021	GU981187											GU981310			GU981402		GU981112										
Nectogale elegans		GU981245																			GU981462								AB175095	GU981050	GU981204											GU981339			GU981431		GU981129										
Soriculus nigrescens		GU981254																			GU981467								AB175101	GU981059	GU981209											GU981346			GU981437		GU981134										
Scalopus aquaticus																							AF284007						HM461915					AF496636				AB455200		AF076479				AY842447										AY249872	HM060242	HM060239	
Episoriculus caudatus		GU981226																			GU981453	GU981120							GU981273	GU981032	GU981194											GU981320			GU981412												
Blarina brevicauda		JQ601443									U62578																		AB175134	M95110	DQ630254				AF392880							AY691842					DQ630171		JF912161	AY121897							
Blarinella griselda		GU981212																			GU981442								GU981259	GU981016	GU981184											GU981305			GU981396		GU981109										
Episoriculus fumidus		GU981232																			GU981454	GU981121							AB175108	GU981036	GU981196											GU981325			GU981416												
Erinaceus europaeus																								HM462041			AY243377		JF318975														AY133043				JN414024	EF027253					GQ354884				
Erinaceus concolor					AY011751								AY011506						AY011447		AY011926			HM462032				AY011871	AF379813																												
Neomys fodiens		JF499325																AF182174			GU981463	DQ630162							DQ991062	GU981053	DQ630258								AF182180			GU981341			GU981433		GU981130	EF027277									
Solenodon paradoxus			AY530072										JN632758							JN633188	AY451972							AY530075							JN414741																		JN414598				
Podogymnura truei			AY451980		AY451991								AY986742						JN633375	JN633187	JN633319							JN633620	AF298580					JN413881													JN414025						JN414597				
Talpa altaica			AY011629			AY011198							AY011507	AB037603					AY011448	AY011565	AY011927							AB176542	AB037602					JN413891	JN414742					JN415065													JN414600	JN414937			
Condylura cristata		JF435992	AY011630			AY011199							AY011508						AY011449	AY011566	AY011928							AY011873	AB076812									AB455170						JQ336983								EF094870			JN208868	JQ336982	
