NBCI_TAX_Genus	NBCI_TAX_Species	Suggested_IUCN_Genus	Suggested_IUCN_Species
Ammotragus	lervia	Ammotragus	lervia
Anathana	ellioti	Anathana	ellioti
Anisomys	imitator	Anisomys	imitator
Anomalurus	beecrofti	Anomalurus	beecrofti
Anoura	geoffroyi	Anoura	geoffroyi
Anourosorex	squamipes	Anourosorex	squamipes
Anourosorex	yamashinai	Anourosorex	yamashinai
Antechinus	agilis	Antechinus	agilis
Antechinus	flavipes	Antechinus	flavipes
Antechinus	godmani	Antechinus	godmani
Antechinus	leo	Antechinus	leo
Antechinus	stuartii	Antechinus	stuartii
Antidorcas	marsupialis	Antidorcas	marsupialis
Antilope	cervicapra	Antilope	cervicapra
Antrozous	dubiaquercus	Bauerus	dubiaquercus
Antrozous	pallidus	Antrozous	pallidus
Aonyx	capensis	Aonyx	capensis
Aonyx	cinerea	Aonyx	cinereus
Aotus	azarai	Aotus	azarae
Aotus	griseimembra	Aotus	griseimembra
Aotus	lemurinus	Aotus	lemurinus
Aotus	nancymaae	Aotus	nancymaae
Aotus	nigriceps	Aotus	nigriceps
Aotus	trivirgatus	Aotus	trivirgatus
Aotus	vociferans	Aotus	vociferans
Apodemus	agrarius	Apodemus	agrarius
Apodemus	alpicola	Apodemus	alpicola
Apodemus	argenteus	Apodemus	argenteus
Apodemus	chevrieri	Apodemus	chevrieri
Apodemus	draco	Apodemus	draco
Apodemus	flavicollis	Apodemus	flavicollis
Apodemus	gurkha	Apodemus	gurkha
Apodemus	hermonensis	Apodemus	witherbyi
Apodemus	latronum	Apodemus	latronum
Apodemus	mystacinus	Apodemus	mystacinus
Apodemus	peninsulae	Apodemus	peninsulae
Apodemus	ponticus	Apodemus	ponticus
Apodemus	speciosus	Apodemus	speciosus
Apodemus	sylvaticus	Apodemus	sylvaticus
Apodemus	uralensis	Apodemus	uralensis
Apodemus	wardi	Apodemus	pallipes
Apomys	datae	Apomys	datae
Apomys	hylocoetes	Apomys	hylocetes
Archboldomys	luzonensis	Archboldomys	luzonensis
Arctictis	binturong	Arctictis	binturong
Arctocebus	calabarensis	Arctocebus	calabarensis
Arctocephalus	australis	Arctocephalus	australis
Arctocephalus	forsteri	Arctocephalus	forsteri
Arctocephalus	galapagoensis	Arctocephalus	galapagoensis
Arctocephalus	gazella	Arctocephalus	gazella
Arctocephalus	philippii	Arctocephalus	philippii
Arctocephalus	townsendi	Arctocephalus	townsendi
Arctocephalus	tropicalis	Arctocephalus	tropicalis
Arctonyx	collaris	Arctonyx	collaris
Arielulus	aureocollaris	Arielulus	aureocollaris
Arielulus	circumdatus	Arielulus	circumdatus
Arielulus	cuprosus	Arielulus	cuprosus
Arvicanthis	niloticus	Arvicanthis	niloticus
Arvicanthis	somalicus	Arvicanthis	neumanni
Arvicola	amphibius	Arvicola	amphibius
Arvicola	sapidus	Arvicola	sapidus
Arvicola	scherman	Arvicola	scherman
Aselliscus	stoliczkanus	Aselliscus	stoliczkanus
Ateles	belzebuth	Ateles	belzebuth
Ateles	fusciceps	Ateles	fusciceps
Ateles	geoffroyi	Ateles	geoffroyi
Ateles	paniscus	Ateles	paniscus
Atelocynus	microtis	Atelocynus	microtis
Atherurus	africanus	Atherurus	africanus
Atherurus	macrourus	Atherurus	macrourus
Atlantoxerus	getulus	Atlantoxerus	getulus
Auliscomys	micropus	Loxodontomys	micropus
Avahi	cleesei	Avahi	cleesei
Avahi	laniger	Avahi	laniger
Avahi	occidentalis	Avahi	occidentalis
Axis	axis	Axis	axis
Axis	porcinus	Axis	porcinus
Babyrousa	babyrussa	Babyrousa	babyrussa
Baiomys	musculus	Baiomys	musculus
Baiomys	taylori	Baiomys	taylori
Balaena	mysticetus	Balaena	mysticetus
Balaenoptera	acutorostrata	Balaenoptera	acutorostrata
Balaenoptera	borealis	Balaenoptera	borealis
Balaenoptera	brydei	Delete	Delete
Balaenoptera	edeni	Balaenoptera	edeni
Balaenoptera	musculus	Balaenoptera	musculus
Balaenoptera	omurai	Balaenoptera	omurai
Balaenoptera	physalus	Balaenoptera	physalus
Balionycteris	maculata	Balionycteris	maculata
Bandicota	indica	Bandicota	indica
Bandicota	savilei	Bandicota	savilei
Barbastella	barbastellus	Barbastella	barbastellus
Barbastella	beijingensis	Delete	Delete
Barbastella	darjelingensis	Delete	Delete
Barbastella	leucomelas	Barbastella	leucomelas
Bassaricyon	alleni	Bassaricyon	alleni
Bassaricyon	gabbii	Bassaricyon	gabbii
Bassariscus	astutus	Bassariscus	astutus
Bassariscus	sumichrasti	Bassariscus	sumichrasti
Bathyergus	janetta	Bathyergus	janetta
Bathyergus	suillus	Bathyergus	suillus
Batomys	granti	Batomys	granti
Bdeogale	crassicauda	Bdeogale	crassicauda
Bdeogale	nigripes	Bdeogale	nigripes
Beamys	hindei	Beamys	hindei
Beatragus	hunteri	Beatragus	hunteri
Belomys	pearsonii	Belomys	pearsonii
Berardius	arnuxii	Berardius	arnuxii
Berardius	bairdii	Berardius	bairdii
Berylmys	berdmorei	Berylmys	berdmorei
Berylmys	bowersi	Berylmys	bowersi
Bettongia	gaimardi	Bettongia	gaimardi
Bettongia	lesueur	Bettongia	lesueur
Bettongia	penicillata	Bettongia	penicillata
Bettongia	tropica	Bettongia	tropica
Bison	bison	Bison	bison
Bison	bonasus	Bison	bonasus
Blarina	brevicauda	Blarina	brevicauda
Blarina	carolinensis	Blarina	carolinensis
Blarina	hylophaga	Blarina	hylophaga
Blarinella	griselda	Blarinella	griselda
Blastocerus	dichotomus	Blastocerus	dichotomus
Bolomys	lasiurus	Necromys	lasiurus
Boneia	bidens	Rousettus	bidens
Bos	grunniens	Bos	mutus
Bos	taurus	Bos	primigenius
Boselaphus	tragocamelus	Boselaphus	tragocamelus
Brachylagus	idahoensis	Brachylagus	idahoensis
Brachyphylla	nana	Brachyphylla	nana
Brachytarsomys	albicauda	Brachytarsomys	albicauda
Brachyteles	arachnoides	Brachyteles	arachnoides
Brachyteles	hypoxanthus	Brachyteles	hypoxanthus
Brachyuromys	betsileoensis	Brachyuromys	betsileoensis
Brachyuromys	ramirohitra	Brachyuromys	ramirohitra
Bradypus	torquatus	Bradypus	torquatus
Bradypus	tridactylus	Bradypus	tridactylus
Bradypus	variegatus	Bradypus	variegatus
Bubalus	bubalis	Bubalus	arnee
Bubalus	carabanensis	Delete	Delete
Bubalus	depressicornis	Bubalus	depressicornis
Budorcas	taxicolor	Budorcas	taxicolor
Bullimus	bagobus	Bullimus	bagobus
Bullimus	gamay	Bullimus	gamay
Bullimus	luzonicus	Bullimus	luzonicus
Bunolagus	monticularis	Bunolagus	monticularis
Bunomys	andrewsi	Bunomys	andrewsi
Bunomys	chrysocomus	Bunomys	chrysocomus
Cabassous	unicinctus	Cabassous	unicinctus
Cacajao	calvus	Cacajao	calvus
Cacajao	melanocephalus	Cacajao	hosomi
Cacajao	rubicundus	Delete	Delete
Caenolestes	fuliginosus	Caenolestes	fuliginosus
Callicebus	brunneus	Callicebus	brunneus
Callicebus	caligatus	Callicebus	caligatus
Callicebus	coimbrai	Callicebus	coimbrai
Callicebus	cupreus	Callicebus	cupreus
Callicebus	donacophilus	Callicebus	donacophilus
Callicebus	moloch	Callicebus	moloch
Callicebus	nigrifrons	Callicebus	nigrifrons
Callicebus	personatus	Callicebus	personatus
Callithrix	argentata	Mico	leucippe
Callithrix	aurita	Callithrix	aurita
Callithrix	emiliae	Mico	emiliae
Callithrix	geoffroyi	Callithrix	geoffroyi
Callithrix	humeralifera	Mico	humeralifer
Callithrix	humilis	Mico	humilis
Callithrix	jacchus	Callithrix	jacchus
Callithrix	kuhlii	Callithrix	kuhlii
Callithrix	mauesi	Mico	mauesi
Callithrix	melanura	Mico	melanurus
Callithrix	penicillata	Callithrix	penicillata
Callithrix	rondoni	Mico	rondoni
Callorhinus	ursinus	Callorhinus	ursinus
Callosciurus	caniceps	Callosciurus	caniceps
Callosciurus	erythraeus	Callosciurus	erythraeus
Callosciurus	finlaysonii	Callosciurus	finlaysonii
Callosciurus	nigrovittatus	Callosciurus	nigrovittatus
Callosciurus	notatus	Callosciurus	notatus
Callosciurus	orestes	Callosciurus	orestes
Callosciurus	prevostii	Callosciurus	prevostii
Calomys	callidus	Calomys	callidus
Calomys	callosus	Calomys	callosus
Calomys	expulsus	Calomys	expulsus
Calomys	fecundus	Calomys	fecundus
Calomys	hummelincki	Calomys	hummelincki
Calomys	laucha	Calomys	laucha
Calomys	lepidus	Calomys	lepidus
Calomys	sorellus	Calomys	sorellus
Calomys	tener	Calomys	tener
Calomys	tocantinsi	Calomys	tocantinsi
Calomys	venustus	Calomys	venustus
Caluromys	derbianus	Caluromys	derbianus
Caluromys	lanatus	Caluromys	lanatus
Caluromys	philander	Caluromys	philander
Calyptophractus	retusus	Calyptophractus	retusus
Camelus	bactrianus	Delete	Delete
Camelus	dromedarius	Camelus	dromedarius
Camelus	ferus	Camelus	ferus
Canis	adustus	Canis	adustus
Canis	aureus	Canis	aureus
Canis	latrans	Canis	latrans
Canis	lupus	Canis	lupus
Canis	mesomelas	Canis	mesomelas
Canis	rufus	Canis	rufus
Canis	simensis	Canis	simensis
Caperea	marginata	Caperea	marginata
Capra	cylindricornis	Capra	cylindricornis
Capra	pyrenaica	Capra	pyrenaica
Capreolus	capreolus	Capreolus	capreolus
Capreolus	pygargus	Capreolus	pygargus
Capricornis	crispus	Capricornis	crispus
Capricornis	swinhoei	Capricornis	swinhoei
Caprolagus	hispidus	Caprolagus	hispidus
Capromys	pilorides	Capromys	pilorides
Caracal	caracal	Caracal	caracal
Cardiocranius	paradoxus	Cardiocranius	paradoxus
Carollia	benkeithi	Delete	Delete
Carollia	brevicauda	Carollia	brevicauda
Carollia	castanea	Carollia	castanea
Carollia	perspicillata	Carollia	perspicillata
Carollia	sowelli	Carollia	sowelli
Carollia	subrufa	Carollia	subrufa
Carpomys	phaeurus	Carpomys	phaeurus
Casinycteris	argynnis	Casinycteris	argynnis
Castor	canadensis	Castor	canadensis
Castor	fiber	Castor	fiber
Catagonus	wagneri	Catagonus	wagneri
Catopuma	badia	Catopuma	badia
Catopuma	temminckii	Catopuma	temminckii
Cavia	aperea	Cavia	aperea
Cavia	fulgida	Cavia	fulgida
Cavia	magna	Cavia	magna
Cavia	patzelti	Cavia	patzelti
Cavia	porcellus	Delete	Delete
Cavia	tschudii	Cavia	tschudii
Cebus	albifrons	Cebus	albifrons
Cebus	apella	Sapajus	apella
Cebus	capucinus	Cebus	capucinus
Cebus	libidinosus	Sapajus	libidinosus
Cebus	nigritus	Sapajus	nigritus
Cebus	olivaceus	Delete	Delete
Cebus	xanthosternos	Sapajus	xanthosternos
Cephalophus	adersi	Cephalophus	adersi
Cephalophus	jentinki	Cephalophus	jentinki
Cephalorhynchus	commersonii	Cephalorhynchus	commersonii
Cephalorhynchus	eutropia	Cephalorhynchus	eutropia
Cephalorhynchus	heavisidii	Cephalorhynchus	heavisidii
Cephalorhynchus	hectori	Cephalorhynchus	hectori
Ceratotherium	simum	Ceratotherium	simum
Cercartetus	concinnus	Cercartetus	concinnus
Cercartetus	lepidus	Cercartetus	lepidus
Cercartetus	nanus	Cercartetus	nanus
Cercocebus	agilis	Cercocebus	agilis
Cercocebus	atys	Cercocebus	atys
Cercocebus	chrysogaster	Cercocebus	chrysogaster
Cercocebus	torquatus	Cercocebus	torquatus
Cercopithecus	albogularis	Delete	Delete
Cercopithecus	ascanius	Cercopithecus	ascanius
Cercopithecus	cephus	Cercopithecus	cephus
Cercopithecus	diana	Cercopithecus	diana
Cercopithecus	erythrogaster	Cercopithecus	erythrogaster
Cercopithecus	erythrotis	Cercopithecus	erythrotis
Cercopithecus	hamlyni	Cercopithecus	hamlyni
Cercopithecus	lhoesti	Cercopithecus	lhoesti
Cercopithecus	mitis	Cercopithecus	mitis
Cercopithecus	mona	Cercopithecus	mona
Cercopithecus	neglectus	Cercopithecus	neglectus
Cercopithecus	nictitans	Cercopithecus	nictitans
Cercopithecus	petaurista	Cercopithecus	petaurista
Cercopithecus	pogonias	Cercopithecus	pogonias
Cercopithecus	preussi	Cercopithecus	preussi
Cercopithecus	solatus	Cercopithecus	solatus
Cercopithecus	wolfi	Cercopithecus	wolfi
Cervus	hortulorum	Delete	Delete
Cervus	nippon	Cervus	nippon
Cervus	taiouanus	Delete	Delete
Cervus	yesoensis	Delete	Delete
Chaerephon	ansorgei	Chaerephon	ansorgei
Chaerephon	atsinanana	Delete	Delete
Chaerephon	chapini	Chaerephon	chapini
Chaerephon	jobensis	Chaerephon	jobensis
Chaerephon	jobimena	Chaerephon	jobimena
Chaerephon	leucogaster	Delete	Delete
Chaerephon	nigeriae	Chaerephon	nigeriae
Chaerephon	plicatus	Chaerephon	plicatus
Chaerephon	pumilus	Chaerephon	pumilus
Chaerephon	pusillus	Delete	Delete
Chaeropus	ecaudatus	Chaeropus	ecaudatus
Chaetodipus	arenarius	Chaetodipus	arenarius
Chaetodipus	artus	Chaetodipus	artus
Chaetodipus	baileyi	Chaetodipus	baileyi
Chaetodipus	californicus	Chaetodipus	californicus
Chaetodipus	dalquesti	Chaetodipus	dalquesti
Chaetodipus	eremicus	Chaetodipus	eremicus
Chaetodipus	fallax	Chaetodipus	fallax
Chaetodipus	formosus	Chaetodipus	formosus
Chaetodipus	goldmani	Chaetodipus	goldmani
Chaetodipus	intermedius	Chaetodipus	intermedius
Chaetodipus	nelsoni	Chaetodipus	nelsoni
Chaetodipus	penicillatus	Chaetodipus	penicillatus
Chaetodipus	pernix	Chaetodipus	pernix
Chaetodipus	rudinoris	Chaetodipus	rudinoris
Chaetodipus	spinatus	Chaetodipus	spinatus
Chaetophractus	vellerosus	Chaetophractus	vellerosus
Chaetophractus	villosus	Chaetophractus	villosus
Chalinolobus	beatrix	Glauconycteris	beatrix
Chalinolobus	gouldii	Chalinolobus	gouldii
Chalinolobus	morio	Chalinolobus	morio
Chalinolobus	poensis	Glauconycteris	poensis
Cheirogaleus	crossleyi	Cheirogaleus	crossleyi
Cheirogaleus	major	Cheirogaleus	major
Cheirogaleus	medius	Cheirogaleus	medius
Chilonatalus	micropus	Chilonatalus	micropus
Chimarrogale	himalayica	Chimarrogale	himalayica
Chimarrogale	phaeura	Chimarrogale	phaeura
Chimarrogale	platycephala	Chimarrogale	platycephalus
Chinchilla	lanigera	Chinchilla	lanigera
Chionomys	gud	Chionomys	gud
Chionomys	nivalis	Chionomys	nivalis
Chionomys	roberti	Chionomys	roberti
Chiroderma	villosum	Chiroderma	villosum
Chiromyscus	chiropus	Chiromyscus	chiropus
Chironax	melanocephalus	Chironax	melanocephalus
Chironectes	minimus	Chironectes	minimus
Chiropodomys	gliroides	Chiropodomys	gliroides
Chiropotes	albinasus	Chiropotes	albinasus
Chiropotes	satanas	Chiropotes	satanas
Chiruromys	vates	Chiruromys	vates
Chlamyphorus	truncatus	Chlamyphorus	truncatus
Chlorocebus	aethiops	Chlorocebus	aethiops
Chlorocebus	cynosuros	Chlorocebus	cynosuros
Chlorocebus	pygerythrus	Chlorocebus	pygerythrus
Chlorocebus	sabaeus	Chlorocebus	sabaeus
Chlorocebus	tantalus	Chlorocebus	tantalus
Chodsigoa	caovansunga	Chodsigoa	caovansunga
Chodsigoa	hypsibia	Chodsigoa	hypsibia
Chodsigoa	parca	Chodsigoa	parca
Chodsigoa	sodalis	Chodsigoa	sodalis
Choloepus	didactylus	Choloepus	didactylus
Choloepus	hoffmanni	Choloepus	hoffmanni
Chrotomys	gonzalesi	Chrotomys	gonzalesi
Chrotomys	sibuyanensis	Chrotomys	sibuyanensis
Chrotomys	silaceus	Chrotomys	silaceus
Chrotopterus	auritus	Chrotopterus	auritus
Chrysochloris	asiatica	Chrysochloris	asiatica
Chrysocyon	brachyurus	Chrysocyon	brachyurus
Chrysospalax	trevelyani	Chrysospalax	trevelyani
Cistugo	lesueuri	Cistugo	lesueuri
Cistugo	seabrae	Cistugo	seabrae
Civettictis	civetta	Civettictis	civetta
Clyomys	laticeps	Clyomys	laticeps
Coelodonta	antiquitatis	Coelodonta	antiquitatis
Coelops	frithii	Coelops	frithii
Coendou	bicolor	Coendou	bicolor
Coendou	prehensilis	Coendou	prehensilis
Colobus	angolensis	Colobus	angolensis
Colobus	guereza	Colobus	guereza
Colobus	polykomos	Colobus	polykomos
Colomys	goslingi	Colomys	goslingi
Condylura	cristata	Condylura	cristata
Conepatus	chinga	Conepatus	chinga
Conepatus	leuconotus	Conepatus	leuconotus
Conepatus	mesoleucus	Delete	Delete
Congosorex	phillipsorum	Congosorex	phillipsorum
Conilurus	penicillatus	Conilurus	penicillatus
Connochaetes	gnou	Connochaetes	gnou
Connochaetes	taurinus	Connochaetes	taurinus
Cormura	brevirostris	Cormura	brevirostris
Corynorhinus	mexicanus	Corynorhinus	mexicanus
Corynorhinus	townsendii	Corynorhinus	townsendii
Crateromys	heaneyi	Crateromys	heaneyi
Cratogeomys	castanops	Cratogeomys	castanops
Cratogeomys	fulvescens	Cratogeomys	fulvescens
Cratogeomys	fumosus	Cratogeomys	fumosus
Cratogeomys	goldmani	Cratogeomys	goldmani
Cratogeomys	gymnurus	Delete	Delete
Cratogeomys	merriami	Cratogeomys	merriami
Cratogeomys	neglectus	Delete	Delete
Cratogeomys	perotensis	Cratogeomys	perotensis
Cratogeomys	planiceps	Cratogeomys	planiceps
Cratogeomys	tylorhinus	Delete	Delete
Cratogeomys	zinseri	Delete	Delete
Cricetomys	ansorgei	Delete	Delete
Cricetomys	emini	Cricetomys	emini
Cricetomys	gambianus	Cricetomys	gambianus
Cricetulus	barabensis	Cricetulus	barabensis
Cricetulus	griseus	Delete	Delete
Cricetulus	lama	Cricetulus	lama
Cricetulus	migratorius	Cricetulus	migratorius
Cricetulus	sokolovi	Cricetulus	sokolovi
Cricetus	cricetus	Cricetulus	tibetanus
Crocidura	aleksandrisi	Cricetus	cricetus
Crocidura	attenuata	Crocidura	attenuata
Crocidura	baileyi	Crocidura	baileyi
Crocidura	batakorum	Delete	Delete
Crocidura	batesi	Crocidura	batesi
Crocidura	beatus	Crocidura	beatus
Crocidura	beccarii	Crocidura	beccarii
Crocidura	bottegi	Crocidura	bottegi
Crocidura	brunnea	Crocidura	brunnea
Crocidura	buettikoferi	Crocidura	buettikoferi
Crocidura	canariensis	Crocidura	canariensis
Crocidura	caspica	Crocidura	caspica
Crocidura	crenata	Crocidura	crenata
Crocidura	crossei	Crocidura	crossei
Crocidura	cyanea	Crocidura	cyanea
Crocidura	denti	Crocidura	denti
Crocidura	dolichura	Crocidura	dolichura
Crocidura	douceti	Crocidura	douceti
Crocidura	dsinezumi	Crocidura	dsinezumi
Crocidura	elongata	Crocidura	elongata
Crocidura	flavescens	Crocidura	flavescens
Crocidura	foetida	Crocidura	foetida
Crocidura	foxi	Crocidura	foxi
Crocidura	fuliginosa	Crocidura	fuliginosa
Crocidura	fulvastra	Crocidura	fulvastra
Crocidura	fuscomurina	Crocidura	fuscomurina
Crocidura	glassi	Crocidura	glassi
Crocidura	goliath	Crocidura	goliath
Crocidura	grandiceps	Crocidura	grandiceps
Crocidura	grassei	Crocidura	grassei
Crocidura	grayi	Crocidura	grayi
Crocidura	hikmiya	Crocidura	hikmiya
Crocidura	hildegardeae	Crocidura	hildegardeae
Crocidura	hirta	Crocidura	hirta
Crocidura	horsfieldii	Crocidura	horsfieldii
Crocidura	ichnusae	Crocidura	pachyura
Crocidura	indochinensis	Crocidura	indochinensis
Crocidura	jouvenetae	Crocidura	jouvenetae
Crocidura	lamottei	Crocidura	lamottei
Crocidura	lasiura	Crocidura	lasiura
Crocidura	lea	Crocidura	lea
Crocidura	lepidura	Crocidura	lepidura
Crocidura	leucodon	Crocidura	leucodon
Crocidura	levicula	Crocidura	levicula
Crocidura	littoralis	Crocidura	littoralis
Crocidura	ludia	Crocidura	ludia
Crocidura	luna	Crocidura	luna
Crocidura	lusitania	Crocidura	lusitania
Crocidura	macmillani	Crocidura	macmillani
Crocidura	malayana	Crocidura	malayana
Crocidura	mariquensis	Crocidura	mariquensis
Crocidura	maurisca	Crocidura	maurisca
Crocidura	maxi	Crocidura	maxi
Crocidura	mindorus	Crocidura	mindorus
Crocidura	miya	Crocidura	miya
Crocidura	monacha	Delete	Delete
Crocidura	monax	Crocidura	monax
Crocidura	muricauda	Crocidura	muricauda
Crocidura	musseri	Crocidura	musseri
Crocidura	nanilla	Crocidura	nanilla
Crocidura	neglecta	Crocidura	monticola
Crocidura	negligens	Crocidura	negligens
Crocidura	negrina	Crocidura	negrina
Crocidura	nigeriae	Crocidura	nigeriae
Crocidura	nigripes	Crocidura	nigripes
Crocidura	nimbae	Crocidura	nimbae
Crocidura	obscurior	Crocidura	obscurior
Crocidura	olivieri	Crocidura	olivieri
Crocidura	orientalis	Crocidura	orientalis
Crocidura	orii	Crocidura	orii
Crocidura	palawanensis	Crocidura	palawanensis
Crocidura	panayensis	Delete	Delete
Crocidura	paradoxura	Crocidura	paradoxura
Crocidura	parvipes	Crocidura	parvipes
Crocidura	phanluongi	Crocidura	phanluongi
Crocidura	phuquocensis	Crocidura	phuquocensis
Crocidura	poensis	Crocidura	poensis
Crocidura	ramona	Crocidura	ramona
Crocidura	rhoditis	Crocidura	rhoditis
Crocidura	roosevelti	Crocidura	roosevelti
Crocidura	russula	Crocidura	russula
Crocidura	shantungensis	Crocidura	shantungensis
Crocidura	sibirica	Crocidura	sibirica
Crocidura	sicula	Crocidura	sicula
Crocidura	silacea	Crocidura	silacea
Crocidura	sokolovi	Crocidura	sokolovi
Crocidura	suaveolens	Crocidura	suaveolens
Crocidura	tanakae	Crocidura	tanakae
Crocidura	tarfayensis	Crocidura	tarfayensis
Crocidura	thalia	Crocidura	thalia
Crocidura	theresae	Crocidura	theresae
Crocidura	turba	Crocidura	turba
Crocidura	viaria	Crocidura	viaria
Crocidura	watasei	Crocidura	watasei
Crocidura	wuchihensis	Crocidura	wuchihensis
Crocidura	zaitsevi	Crocidura	zaitsevi
Crocidura	zarudnyi	Crocidura	zarudnyi
Crocidura	zimmermanni	Crocidura	zimmermanni
Crocuta	crocuta	Crocuta	crocuta
Crossarchus	obscurus	Crossarchus	obscurus
Crunomys	melanius	Crunomys	melanius
Cryptomys	hottentotus	Cryptomys	hottentotus
Cryptonanus	chacoensis	Cryptonanus	chacoensis
Cryptonanus	unduaviensis	Cryptonanus	unduaviensis
Cryptoprocta	ferox	Cryptoprocta	ferox
Cryptotis	goldmani	Cryptotis	goldmani
Cryptotis	magna	Cryptotis	magna
Cryptotis	parva	Cryptotis	parva
Ctenodactylus	gundi	Ctenodactylus	gundi
Ctenodactylus	vali	Ctenodactylus	vali
Ctenomys	argentinus	Ctenomys	argentinus
Ctenomys	australis	Ctenomys	australis
Ctenomys	azarae	Ctenomys	azarae
Ctenomys	bergi	Ctenomys	bergi
Ctenomys	boliviensis	Ctenomys	boliviensis
Ctenomys	bonettoi	Ctenomys	bonettoi
Ctenomys	colburni	Ctenomys	colburni
Ctenomys	conoveri	Ctenomys	conoveri
Ctenomys	coyhaiquensis	Ctenomys	coyhaiquensis
Ctenomys	dorbignyi	Ctenomys	dorbignyi
Ctenomys	flamarioni	Ctenomys	flamarioni
Ctenomys	fodax	Ctenomys	fodax
Ctenomys	frater	Ctenomys	frater
Ctenomys	fulvus	Ctenomys	fulvus
Ctenomys	goodfellowi	Ctenomys	goodfellowi
Ctenomys	haigi	Ctenomys	haigi
Ctenomys	juris	Ctenomys	juris
Ctenomys	lami	Ctenomys	lami
Ctenomys	latro	Ctenomys	latro
Ctenomys	leucodon	Ctenomys	leucodon
