taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	
Pseudocheirus peregrinus	GQ323960						GQ323893							FJ623982			FJ624068			FJ624001				AY125034		FJ624044	FJ624020			U21185	
Phascogale tapoatafa														AY243427		AY528906	AY243412	AY531238	EF032341	AF355795	L35327					AY243395	AY532668		M99459	U33497	
Phascolarctos cinereus		JN414877					AF425985	JN632723	JN632790	JN632883	JN633351	JN414394		JN413939		AF166344	AY243406			AY243445	U87789			AF303973		AY243387	AY243434		AF166348	U61076	
Isoodon macrourus		JN414870				EU160446		JN632716	JN632783	JN632876	JN633344	JN414386		JN413934			EU160456			EU160441				AF303972		EU160453	EU160450		AF139057	U61074	
Caenolestes fuliginosus		JN414868				AY243418		JN632714	JN632781	JN632874	JN633343	JN414384				AF102808	AY243403			AF355794	L35332			AF303967		AY243384	AF025381	AF011240	AF102816	U61072	
Macrotis lagotis		JN414871				EU369354		JN632717	JN632784	JN632877	JN633345	JN414387		JN413936			EU369371			EU369359				AY125024			EU369364			AF131246	
Notoryctes typhlops		EF551555						JN632713	JN632780	JN632873	JN633342	JN414383		AY243424		AF102810	AY243408			AY243447	L35446			AY125040		AY243391	AF025385	AF011254	U87135	U61075	
Myrmecobius fasciatus		JN414884						JN632730	JN632797	JN632890	JN633358	JN414401		FJ603113		EF011645	FJ603134	EF025058		FJ603122	U87139			JN633586		FJ603130	FJ603125	AF011259	U82329	U87404	
Didelphis virginiana		DQ865890						AY011502	JN632776	JN632869	AY011439	DQ083127		JN413929	HQ451898	DQ334848	FJ159335			FJ159285				AF303969			AF257678	AF011232	HM222715	AY012091	
Tarsipes rostratus		JN414881					AF425979	JN632727	JN632794	JN632887	JN633355	JN414398		JN413942		AY228375	FJ603137			FJ603124				AY125030		FJ603132	FJ603128			U21189	
Dromiciops gliroides		JN414866						JN632712	JN632779	JN632872	EF104989	JN414382		JN413930		U97341	AY243407			AY243446	L35449			AF303970		AY243389	AF025384	AF011238	AF102815	U61073	
Vombatus ursinus		JN414882					AF343893	JN632728	JN632795	JN632888	JN633356	JN414399		AY243429		AF102811	AF497260			AF284031				AY125038		AY243397	AF025386		AF102814	U61078	
