taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	
Maxomys ochraceiventer														JF436978						JF343487	GU294883						JF459710																		
Stenocephalemys albocaudata						DQ022414								AF518370															AM910978											AJ133588					
Stenocephalemys albipes						DQ022404								AF518347															AM910977											AJ133594					
Heimyscus fumosus						DQ022397								AF518332													JQ667606		AM910953											JQ843704					
Dasymys rufulus						DQ022387								AF141216		HM141728																								AF141247		AF141278			
Millardia kathleenae						EU292145								EU292148															AM910963	EU349905									EU349628						
Berylmys berdmorei						HM217668								HM217432		HM141734											HM217559							JN566381											
Mus gratus									FJ603556					AY263613								AY263516	AY263562								JN227702														
Mylomys dybowskii						EU292146								AF141212															AM910965											AF141241		AF141272			
Grammomys macmillani						AY326086								EU349746															AM910980	EU349888									EU349615						
Golunda ellioti						AM408332								AM408338															AM910951											AF141234		AF141265			
Melomys burtoni			EF364467																					U17186								JN114368							JN114324	JN114243					
Aethomys chrysophilus			EU004037			AY326075								AJ604524																										AF141245		AF141276			
Colomys goslingi						DQ022395								AF518372													JQ667598		AM910948											JQ843691					
Acomys wilsoni				EU635752		EF187775						AJ012046		JN247684																											U18832				
Gerbillurus tytonis						EU349845								AJ430559											EU349926					EU349886												AJ430593			
Myomyscus verreauxii						DQ022408								AF518355													JQ667840		AM910967											JQ843932					
Abeomelomys sevia						EU349832																							EU349793	EU349879									EU349607		EU349701		EU349682		
Paruromys dominator			EU004050											EU349774															EU349822										EU349634		EU349725		EU349669		
Millardia meltada						AM408322								AF141221													JF756026		AM910962											AF141252		AF141283			
Grammomys dolichurus						EU349847								EU275252											EU349933				EU349800	EU349887													EU349651		
Tokudaia muenninki						AB548697								AB548692																AB548695					AB672501			AB548701							
Bandicota indica			EU004041			HM217624								JQ735467													JQ362481							JN566373						JQ843689					
Desmodillus auricularis						AM910940							FJ411197	AJ851272															DQ019048												DQ019081	AJ851257			
Notomys fuscus			EF364477			EU360811								EU349768											EU349979					EU349907									DQ070379						
Rattus tiomanicus		AJ315464				HM217629								FR775856						JF343510							FR775810																		
Chrotomys gonzalesi						DQ191503								EU349742											EU349958				GQ405375	EU349884									DQ023434						
Archboldomys luzonensis						DQ191495								JQ898029															GQ405368	DQ023466									DQ023433		EU349703		EU349675		
Apodemus peninsulae						AB032857								JQ664594										AY588251		AY693983				AB303240															
Apomys hylocoetes														EU349735											EU349959				AY294915	DQ023465									DQ070374				AY295000		
Pogonomys loriae						EU349868								EU349776											EU349965				EU349823	EU349912											EU349726		EU349683		
Dacnomys millardi						JQ755961								JQ755896													JQ755851		DQ019058	DQ023459									DQ023422		DQ019098				
Chiruromys vates			EF364449			EU349842								EU349741											EU349964					EU349883									EU349611		EU349706				
Lemniscomys striatus						AM408321								AF141211		HM141727													AM910956											Z83899		AF141271			
Meriones meridianus				EU635765									FJ411223	AJ851268													JQ043498														AB381909	AJ851252			
Pseudohydromys ellermani			EF364466			EU349858								EU349763											EU349985				EU349814	EU349900									EU349623				EU349695		
Mesembriomys gouldii			EF364472			EU349861																			EU349976				EU349817	EU349903									DQ070382		EU349721		EU349693		
Dasymys incomtus			EU004043			EU292143								AF141217															AM910950											AF141248	EU349707	AF141279	EU349653		
Mammelomys lanosus			EF364463			EU349855								EU349759											EU349967				EU349811	EU349897									EU349622		EU349716				
Zyzomys argurus			EF364511			EU349878								EU349792											EU349978				EU349831	EU349921									DQ070381				EU349685		
Apodemus mystacinus						AB303229								AF159394										AY623080					AM910942	AB285448											DQ019091	AJ311141			
Bunomys andrewsi			EU004042			EU349839																			EU349951				EU349795	EU349880									EU349608		EU349704		EU349667		
Hyomys goliath			EF364454											EU349750											EU349962				EU349805	EU349891									DQ070375		EU349710		EU349679		
Arvicanthis somalicus														EU349737											EU349936				AY294918	AY294946									DQ023425		DQ019094		AY295003		
Lorentzimys nouhuysi			EF364459			GQ405362								EU349755											EU349963				GQ405383	EU349894											EU349713		EU349680		
Anisomys imitator			EF364448			EU349833								EU349732											EU349960				DQ019052	DQ023471									DQ023440		DQ019090				
Hylomyscus parvus						DQ022399								AF518330													JQ667666		DQ019060	DQ023479									DQ023449	DQ078207	DQ019100				
Xeromys myoides			EF364510			EU349877								EU349790											EU349984				EU349830	EU349920									DQ070380				EU349696		
Oenomys hypoxanthus						AM408324								EU349769											EU349932				DQ019069	EU349908									DQ023430		DQ019110		EU349654		
Chiropodomys gliroides						GQ405361								EU349740											EU349955		JF444993		EU349797	EU349882									EU349610				EU349674		
Pan paniscus	AY017017																HM763236	AB296237										AY276083									AY490587								
Pan troglodytes	AY017016																HM763238	AB296236										AY276623									AY490586								
Leptomys elegans			EF364458			EU349852								EU349753											EU349983				EU349807	EU349893									EU349619		EU349712		EU349697		
Berylmys bowersi		AJ315454				HM217651								AM408337						JF343505							JN105108		DQ019056	DQ023457				JN566382							DQ019096				
Mallomys rothschildi			EF364462			EU349854								EU349758											EU349969				EU349810	EU349896									EU349621		EU349715		EU349681		
Batomys granti						DQ191496								EU349738											EU349928				AY294917	AY241461									DQ023450		DQ019095		AY295002		
Leporillus conditor			EF364457			EU349851								EU349752											EU349975				EU349806	EU349892									DQ070376		EU349711		EU349692		
Gerbilliscus robustus						AY326113								AM409374											EU349927				AY294920	AY294949									EU349639	AJ878516	DQ019084		AY295005		
Rhynchomys isarogensis						AY326108								EU349784											EU349957				GQ405394	AY294944									DQ070373		DQ019119		EU349677		
Pogonomys macrourus			EF364484			EU349869								EU349777											EU349966				EU349824	EU349913									EU349636		EU349727		EU349684		
Mastacomys fuscus			EF364465			EU349856								EU349760											EU349981				EU349812	EU349898									DQ070378		EU349717		EU349687		
Hydromys chrysogaster			EF364453			AM408319								EU349748											EU349987				EU349804	EU349889									EU349617		EU349709		EU349699		
Macruromys major			EF364460			EU349853								EU349756											EU349961				EU349809	EU349895									EU349620		EU349714		EU349678		
Parahydromys asper			EF364479			EU349866								EU349771											EU349986				EU349820	EU349910									EU349631		EU349723		EU349698		
Lophuromys flavopunctatus						AY326091								EU349754											EU349924				AY294921	AY294950											DQ019087		AY295006		
Lophuromys sikapusi						AJ698899	AJ275595	AJ275597		AJ275596				AJ012023																															
Rattus verecundus			EU004062			HQ334589																			HQ334718					HQ334658													HQ334402		
Pseudomys australis			EF364487			AM910939								AM910936											EU349980				DQ019073	DQ023469									DQ070377		DQ019116		EU349688		
Leggadina forresti			EF364455			EU349850								EU349751										AF084254	EU349982				DQ019061	DQ023468									DQ023437		DQ019101		EU349686		
Zelotomys hildegardeae						DQ022396								AF518375											EU349943		JQ668026		DQ019080	DQ023476									DQ023446	JQ844108	DQ019123		EU349661		
Chiromyscus chiropus						JQ755965								EU349739										AB710178	EU349947		AB710347		EU349796	EU349881									EU349609		EU349705		EU349665		
Conilurus penicillatus			EF364451			AM910938								AM910935											EU349977				DQ019057	DQ023467									DQ023436		DQ019097		EU349694		
Arvicanthis niloticus						DQ022386								AF004572		HM141726													AM910944					JN566365						AF141228		AF141259			
Diplothrix legata						AB033706								AB033696								AY263510	AY263553		EU349949				EU349799	AB164042									EU349612			AJ311143	EU349670		
Solomys salebrosus			EF364507			EU349872								EU349785											EU349973				EU349827	EU349917		JN114409							JN114357	JN114315			EU349691		
Leopoldamys edwardsi		AJ005777	EU004045			HM217652								AJ698881												HM219571	JF444996							JN566383								X84386			
Otomys angoniensis						AM408325	AJ275610	AJ275612		AJ275611				AM408343															AM910971													JF795961			
Gerbillus gerbillus						EU349846								JN652802											EU349925				DQ019049	DQ023452									DQ023416		DQ019082	AJ851242	EU349700		
Stochomys longicaudatus						EU292147								EU292149											EU349950				DQ019076	DQ023463								L29546	DQ070393	Z83917	DQ019120		EU349652		
Uromys caudimaculatus			EF364509			EU349875								EU349789										U17192	EU349970				GQ405397	DQ023470		JN114404							DQ023439	JN114309	DQ019122				
Paramelomys levipes			EF364480			EU349867								EU349772											EU349971				EU349821	EU349911		JN114403							JN114350	JN114308	EU349724		EU349689		
Hybomys univittatus						DQ022388								AF141219								AY263511	AY263554						DQ019059	DQ023462									DQ070392	AF141250	DQ019099	AF141281			
Malacomys longipes						DQ022393								AM408341											EU349942		JQ667765		DQ019064	DQ023474									DQ070383	JQ843857	DQ019104	AJ279440	EU349656		
Leopoldamys sabanus			EU004046		EU543243	HM217638								JQ755906						JF343501							JF459629		DQ019063				JF437031								DQ019103				
Sundamys muelleri		AJ315453				AY326111								AM408340						JF343483							JF459866		DQ019077	DQ023456			JF437050						DQ023420		DQ019121		EU349668		
Niviventer cremoriventer		AJ005778												EF053031						JF343492							JF459857		DQ019067				JF437039								DQ019109	AJ005779			
Mastomys hildebrandtii			AY057790											AY057818															AY294916									L29542			EU349719		AY295001		
Tokudaia osimensis						AB033712								AB029429								AY263550	AY263594		EU349931				EU349828	AB164046									EU349640			AJ311133	EU349659		
Rhabdomys pumilio			EU004064		GU332090	AY326106								AF533090												JQ003289	JQ003458		AY294913	AY294940						JQ003278				AF141244	DQ019118	AF141275	EU349650		
Deomys ferrugineus						AY326084	AJ275550	AJ275552		AJ275551		FJ415539		FJ415478											EU349923				AY294922	AY241460													AY295007		
Uranomys ruddi						EU360812	AJ275600	AJ275602		AJ275601		FJ415540		HM635858											EU349922				DQ019051	DQ023454											DQ019088		EU349642		
Micaelamys namaquensis			EU004039			AM408330							FJ411186	AF141215											EU349945				AY294914	GU139443							DQ156961		DQ023427	AF141246	DQ019089	AF141277	EU349649	EF384231	
Micromys minutus						AB033710								AB125090										AB202068	EU349946		HM217483		EU349818	AB164043									EU349627			AJ311139	EU349664		
Dipodillus dasyurus						FM162054							FJ411203		GQ506714		FM162119												FM162072				FM162087												
Notomys alexis			EF364474								FJ843089		AY856059	AY176318					AB513429																										
Psammomys obesus						FN357290								AJ851275	GQ506715																											AJ851253		EF384233	
Meriones unguiculatus						AY326095					AF442491		FJ411228	AF159405	GQ506716		FN984753		AB177844										FN984754				FN984756								AB381914	DQ385846			
Mus caroli			AY057784		AJ634282	AB125798			FJ603563					AB213496				AB306319												AB125820	JN227690			JN566406			AY490633	L29552	AF196862			AB125785			
