taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	marker.38	marker.39	marker.40	marker.41	marker.42	marker.43	marker.44	marker.45	marker.46	marker.47	marker.48	marker.49	marker.50	marker.51	marker.52	marker.53	marker.54	marker.55	marker.56	marker.57	marker.58	marker.59	marker.60	marker.61	marker.62	marker.63	marker.64	marker.65	marker.66	marker.67	marker.68	marker.69	marker.70	marker.71	marker.72	marker.73	marker.74	marker.75	marker.76	marker.77	marker.78	marker.79	marker.80	marker.81	marker.82	marker.83	marker.84	marker.85	marker.86	marker.87	marker.88	marker.89	marker.90	
Lontra canadensis																														AB285373					EF472416			EF987481	EF472304	GU930923	EF987565	EF987608				EF472389	EF987935	EF472403									AB285335		U78335													AF057121				AY750586							GU931152				AB285391					
Tragulus napu							JN633003	JN632814						EU444984	EU445008	EU445046	EU445070													JN414775					JN633309		EU189404	JN633423		JN633545	JN633734	JN633370	JN632742	JN633160	JN633479	JN633090	JN633791	JN633597							JN633835		JN413970		M55539	JN633241				JN414141								AB122112										JN414695					JN415034					
Petaurus breviceps	U21181	HM348552	GQ323904				JN632977	JN632788										AY243400			FJ657660									AY243441	GQ324021				JN633289						JN633713	JN633349	JN632721	JN633141	JN633461			AY125026		AY243433					JN633818				AY228380	JN633221						EU160443																JN414670					AY243417					
Hippopotamus amphibius	Y08810						JN633000	JN632811		GU990741													AJ575422	AJ251178						AF108837					AY011969		JN414894	AY011238		AY011361	AY011425	AY011488	AY011546	AY011608	AY011671	AY011794	AY011851	AY011909							HQ826958		JN413966		AF107223	AY011731				AF284015						AF107217		Y08813										JN414691					AF108832					
Callicebus personatus							HM764207	HM761959																											HM758970			HM765214						HM763300	HM763038	HM759885		HM759138							HM757592					HM762464																																
Callicebus nigrifrons							HM764211																												HM758969			HM765213		HM764677				HM763299	HM763037	HM759884		HM759137							HM757591					HM762463																																
Lynx rufus																			EU341503											DQ205913				AY750644	DQ082348					DQ081748	DQ082608						DQ082303												AY499296											AY499278		GU175436				AY750602									EU161942	AF252975						
Eubalaena australis							JN414096	JN414648						EU444975	EU444999	EU445037	EU445061							JN413838	DQ318998					JN414778					JN414981		GQ368545	JN413900		JN414075	JN414085	JN414109	JN414120	JN414358	JN414371	JN414828	JN414839	JN414851							JN415006		JN413974			JN414523				JN414145								DQ095152					GQ389688					JN414699					JN415037					
Lynx lynx								GU931045																						AY525038				AY634389	DQ082346			GU930840		DQ081746	DQ082606	GU930975					DQ082301										GU930885		AY499291											AY499273						DQ082519							DQ082695		JN084446	AF252974						
Pecari tajacu	AY726777						JN633002	JN632813	JF459286					EU444985	EU445009	EU445047	EU445071							JN413873						JN414774					JN633308		JN414896	JN633422		JN633544	GQ487606	GQ487618	JN632741	JN633159	JN633478	JN633089	JN633790	JN633596	AF165615				AF165613		DQ185343		JN413969	HQ609772	U13097	JN633240				JN414140								DQ179071	AY546526	AY546533	DQ190903			AY546548		EU189387	DQ190909	JN414694					JN415033					
Cynocephalus volans							EU142154	EU213053																JN413826						JN414800					HM758834		AY249875	HM765080		HM764553	AF535043	AF535048	AF535052	JN633186	AF535058	AF535065	HM759547	EU142186							AF535081		JN414021			AF535062				DQ354453																		AF332019					JN415063					
Galeopterus variegatus							EU142153	EU142175																AJ251182						Z11807					HM758833		JN414934	AY011223		HM764552	AY011410	AY011474	AY011531	AY011593	AY011656	HM759751	AY011837	HM759011							AY012012		JN414022			AY011718				AF019081																		AF540625					U31606					
Macaca silenus							HM764156	HM761868																											HM758867	AB296225		HM765113		HM764586				HM763198	HM763109	HM759837	HM759582	HM759042							HM757491				AY224264											AM492835						HM757663																
Macaca maura							HM764158	HM761862																											HM758861	AB296212		HM765107		HM764580		HM763791		HM763192	HM763105	HM759721	HM759576	HM759036							HM757485				AY224250	HM762362										AF383994		AF350382				HM757658										HM071223						
