taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	
Thrichomys apereoides			AF422889										EU544668				EU313293							AJ849315		AF422856				EU313334				
Dactylomys boliviensis			AF422909										L23339				EU313258							AJ849307		AF422875				EU313298				
Euryzygomatomys spinosus			AF422888										U34858					GU938885						AJ849319		AF422854	JF297755							
Dasyprocta leporina													AF437783					JF459151						U31607		AY093661		FJ855207						
Mesomys hispidus			AF422895										L23385				EU313281	JF458632						AJ849305		AF422860				EU313322				
Spalacopus cyanus									AY836570				AF007061						AY622647	AY622627	AY823481					AF520690								
Tympanoctomys barrerae									GQ168705				AF007060					GQ121051	AY622654	AY622631	AY823478					AF520692								
Heliophobius argenteocinereus							DQ846644						AY425928										AF159323	AJ251133		AY425845		FJ855204						
Atherurus macrourus		JF938814									JF938914		FJ931121													U12451	JF938889	JF938865						
Ctenomys conoveri													AF007055					JX275552	AY622640	AY622616									JX275654					
Cryptomys hottentotus								GQ506889															AY427013	AJ251132		M63567		FJ855202						
Cuniculus paca	FM162110	FM162143											AY206557		AM050861	AF548417		JF459129						AJ251136		AY093664		AF433927	AY206597					
Pan troglodytes		HM763238								HM761906	HM758908	AB296236																		HM759079				
Pan paniscus		HM763236								HM761905	HM758906	AB296237																		HM759078				
Bathyergus suillus	FM162100	FM162133											AY425913		AJ427252								AF159321	AJ238384		AY425842	AJ427251	FJ855201						
Echimys chrysurus	FM162105	FM162138	AF422911										L23341		AJ427269		EU313262	JF458603						AJ251141		AY093663	AJ427247	FM162082		EU313303				
Coendou prehensilis					GQ506849	GQ506881		GQ506895					AF411581													AY093665								
Dolichotis patagonum					GQ506850			GQ506896					AY382787					FJ527885				AY823475				AY093662		AF433939						
Octodon degus	FM162108	FM162141	AF422881		GQ506847	GQ506879		GQ506893	GQ168717				AF007059					JF444360	AY622657	AY622615	AY823482					U12452								
Octodontomys gliroides		JN633205								JN632862	JN633335		AF370706		JN413869	JN414066		GQ121085			AY823483			JN415084			JN414823			JN633635				
Abrocoma bennettii		JN633193									JN633325				FM162050	JN414044						AY823488		JN415073				JN414754		JN633625				
Hoplomys gymnurus		JN633203	AF422896							JN632855	JN633332		AF422922		JN413843	JN414059						AY823487		JN415080		AF422862	JN414818			JN633632				
Dasyprocta punctata		JN633201								JN632852	JN633331				JN413827	JN414056						AY823477		JN415079		U12453	JN414817	AF433942						
Laonastes aenigmamus		JN633208									JN633338		AM407933		AM407900	JN414071								AM407898		DQ139934	AM407903	AM407901						
Chinchilla lanigera	AY303201	AY303182								JN632848			AF122820		AJ427271	JN414052		GU130595				AY823469		AJ238385		U12445	AJ427246	AF520660						
Hystrix brachyurus		AY011582								JN632860	AY011943		JQ991599		JN413846	JN414064												JN414760		AY011886				
Cavia porcellus				AJ550796									DQ017046		AJ271336			HM102293						AJ224663		AF433909	AJ427248	AF433931					AM909776	
Hydrochoerus hydrochaeris	FM162109	AY011587								JN632859	AY011948		GU136721		FM162051	AY243369						AY823476		AJ251137		U12454	JN414821	FJ855208	EU149775	AY011891				
Erethizon dorsatum	AY303205	AY011583		AJ550797						JN632856	AY011944		FJ357428		AJ427270	JN414060		JF456596					FJ865457	AJ251135		U12450	AJ427249	AF520658		AY011887				
Petromus typicus	FM162099	FM162132			GQ506841	GQ506875		GQ506888			JN633336		DQ139935		AJ427268	JN414068								AJ251144		M63571	AJ427244	JN414761		JN633636				
Thryonomys swinderianus	FM162098	JN633207			GQ506840	GQ506874		GQ506887		JN632864	JN633337		U59181		AJ427267	JN414070								AJ224674		M63570	AJ427243	AF332035		JN633637		AM909801	DQ318974	
Cuniculus taczanowskii		AY011590			GQ506851	GQ506884		GQ506897		JN632842	AY011951				JN413806	JN414045								JN415074		AF433907		AF433929		AY011894				
Capromys pilorides	FM162107	JN633196	AF422882		GQ506846	GQ506878		GQ506892		JN632846	JN633328		AF422915		AM407926	JN414049								AJ251142		U12443	AM407927	AF433950		JN633628				
Dinomys branickii	FM162104	FM162137			GQ506848	GQ506880		GQ506894		JN632853	AY011950		AY254884		AM050859	AY243370								AJ251145		AF520697	AM050862	AF520659		AY011893				
Heterocephalus glaber	FM162101	FM162134					DQ846653			JN632845	AY011946		AF155870		JN413841	JN414048							AF159324	AJ251134		M63563	AM407925	AF332034		AY011889				
Myocastor coypus		AY011588	AF422886		GQ506845	GQ506877		GQ506891		JN632847	AY011949		EU544663		JN413864	JN414050								AJ251140		U12444	JN414814	AF520662		AY011892				
