taxon	marker	marker.1	marker.2	marker.3	marker.4	marker.5	marker.6	marker.7	marker.8	marker.9	marker.10	marker.11	marker.12	marker.13	marker.14	marker.15	marker.16	marker.17	marker.18	marker.19	marker.20	marker.21	marker.22	marker.23	marker.24	marker.25	marker.26	marker.27	marker.28	marker.29	marker.30	marker.31	marker.32	marker.33	marker.34	marker.35	marker.36	marker.37	
Civettictis civetta			GU930989							GU931060	GU930893					GU930854						EF440403	GU931118			GU930914	GU931179	GU931253	GU931287			HQ450790		AF511043					
Bassaricyon alleni			DQ660195							GU931083	DQ660181			DQ660258				DQ660230					GU931133		GU931109	GU930938		DQ660272						DQ660299					
Proteles cristatus			GU930981							GU931051		DQ354460										EF440421				GU930908	GU931173	GU931247	GU931281					AY928679					
Spilogale putorius		U78346	GU930996								GU930898					GU930861							GU931123	AY750610	GU931099	GU930919		GU931256						X94928				Y08518	
Ictonyx libyca			EF987617									EF987644		EF987971											EF987757		EF987944	EF987989						EF987739					
Lutra sumatrana		EF472279	EF987614											EF472409				EF472380					EF472353		EF472350			EF472422						EF472347					
Parahyaena brunnea			GU930980							GU931050									EU274640			EF440420				GU930907	GU931172	GU931246	GU931280					AY928677					
Hyaena hyaena			GU930979																			EF440417		DQ267570		GU930906	GU931171	GU931245	GU931279					AY928678					
Arctocephalus galapagoensis				GQ438511	GQ438613	GQ438656	GQ438718																											EF534225					
Aonyx capensis			EF987606											EF472401				EF472371					AF498184		AF498160		EF987933	EF472414						AF057118					
Vormela peregusna			EF987618								AB564103	EF987645		AB564109									EF987773		AB564106		EF987945	EF987990			AB564112			EF581357					
Galictis cuja			EF987638								AB564020	EF987665		EF987984									EF987787		EF987770		EF987965	EF988008			AB564029			EF987754					
Vulpes chama			DQ240380									DQ240414											DQ239469		DQ239461						DQ240812								
Vulpes cana			DQ240379									DQ240413											DQ239468		DQ239460						DQ240811								
Lutrogale perspicillata		EF472280	EF987615								EF472294	EF472311		EF472410				EF472381					EF472354		EF472351		EF987942	EF472423						EF472348					
Poecilogale albinucha		EF472281	EF987616								EF472295	EF472312		EF472411				EF472382					EF472355		EF472352		EF987943	EF472424						EF472349					
Galictis vittata			EF987637								EF987538	EF987664		EF987983									AF498200		AF498176		EF987964	EF988007						AF498155					
Catopuma badia	DQ086460							DQ082531										AF006436								DQ081759		DQ082359	DQ082404										
Nasua nasua			DQ660200								DQ660186			DQ660263		GU930879		DQ660235							GU931107	GU930936	GU931201	DQ660276						DQ660303				L21888	
Hydrictis maculicollis		EF472277	EF987612								EF472291	EF472308		EF472407				EF472378					AF498191		AF498167		EF987939	EF472420						AF057125					
Urocyon littoralis			DQ240378									DQ240412											DQ239467		DQ239459						DQ240810								
Mellivora capensis			EF987641								AB564070	EF987668		AB564075									AB564074		EF987771		EF987968	EF988011			AB564078			EF987755					
Canis simensis			DQ240363									DQ240397											DQ239463		DQ239455						DQ240795			HQ845262					
Pteronura brasiliensis		EF472278	EF987613								EF472292	EF472309		EF472408				JQ038847					AF498192		AF498168		EF987940	EF472421						AF057126					
Fossa fossana			JQ073049					AY170019		GU931058		JN414156											GU931116	AY170067		GU930912	GU931177	GU931251	GU931285					AY170097			AJ893551		
Lycalopex sechurae			DQ240374									DQ240408													AY885368						DQ240806			AF028154					
Canis adustus			DQ240358									DQ240392											AY885381		AY885357						DQ240790			JQ088654					
Eira barbara			DQ660206							GU931068	DQ660192	EF987663		DQ660269		GU930864		DQ660241					AF498199		AF498175	GU930921	DQ660255	DQ660282						AF498154					
Pusa caspica			GU174614								GU167693			GU167847	GU167299	GU167678				GU167325			DQ205828	DQ205905	GU167786	GU167708	GU167832	GU167862						AY140978				GU174592	
Lycalopex vetulus			DQ240375									DQ240409													DQ239458						DQ240807			EF106996					
Nandinia binotata			GU930992					AY232613	AY170053	GU931063	JN413992	JN414161	JN587099			GU930857							AY928732	AY170083		GU930915	GU931180	GU931254	GU931288					AF511057					
Phoca fasciata			GU167724											GU167848	GU167298	GU167679				GU167324				GU167466	GU167787	GU167650	GU167833	GU167560						AY140980				GU174595	
Ictonyx striatus		U78334	EF987636							GU931071	AF548425	EF472315		EF472413		GU930867		EF472385							AF498177	GU930924	GU931189	EF472426						AF498156					
Pardofelis marmorata	DQ086456							DQ082533																				DQ082361	DQ082406					AY499336					
Eumetopias jubatus			GU174632								GU167637	AB371324		AB188522	GQ477077								DQ205813	AB188517	DQ205779	GU167664		GU167574			AB371356			DQ145021				U12832	
Monachus monachus			GU174627								GU167632			GU167541	AY377355	GU167604				AY377234			DQ205822	GU167472	DQ205787	GU167659	GU167516	GU167569						AY377327				GU174602	
Otocyon megalotis			DQ240369									DQ240403	JN587102										AY885396		AY885372						DQ240801			AF028150					
Prionailurus rubiginosa	DQ086457							DQ082512										AF006446								DQ081738		DQ082338	DQ082383										
Atelocynus microtis			DQ240357									DQ240391											AY885380		AY885356						DQ240789			AF028135					
Bassariscus astutus		U78328	DQ660197							GU931081	DQ660183	EF987671		DQ660260		GU930878		DQ660232					AF498206		AF498182	GU930935	GU931200	DQ660274						AF498159					
Callorhinus ursinus											AB193422	AB371323		AB188521			EF440369				AY882056			AB188516							AB371355			AY424647				U12830	
Monachus schauinslandi			GU167730								GU167633			GU167854	AY377354	GU167605				AY377233			DQ205821	DQ205898	DQ205786	GU167715	GU167517	GU167570						GU174610				GU174603	
Paradoxurus hermaphroditus			GU930991							GU931062	AY928685					GU930856			FJ881548		FJ881499		AY928725	AY170086		DQ081771		DQ082372	DQ082417					FJ881613					
Felis margarita	DQ086434																	AF006398								DQ081734		DQ082334	DQ082379										
Melursus ursinus	AB261820													AB109362										AB109334	AM748325						AB371354			U23560				L21884	
Cystophora cristata			GU167716								GU167686			GU167534	AY377357	GU167671				AY377236			DQ205816	DQ205893	GU167430	GU167652	GU167509	GU167855						AY140981		GQ175157		GU174597	
Profelis aurata	DQ086453							DQ082522										AF006434								DQ081750		DQ082350	DQ082395				AF252985						
Lontra longicaudis		EF472275	EF987610								AB564035			AB564041				HM997011					AF498189	AB564042	AB564038		EF987937	EF472418			AB564044			AF057123					
Dusicyon thous			DQ240364									DQ240398											AY885388		EF107039						DQ240796			EF106989					
Herpailurus yaguarondi	DQ086445							DQ082516										AF006406								DQ081743		DQ082343	DQ082388				AF252987	JQ743624					
Leopardus colocolo	DQ086428							DQ082529										FJ514366								DQ081757		DQ082357	DQ082402				AF252969	FJ648657					
Leptailurus serval	DQ086455							DQ082523					JN587097					AF006420								DQ081751		DQ082351	DQ082396				AF252993						
Tremarctos ornatus	AB261821												JN587111											AY303840	AM748327						AM748295			U23554	EU367007			L21883	
Cryptoprocta ferox			JQ073050					DQ082545		GU931057			JN587094	JQ073173							FJ391188		AY928733	AY170066		DQ081773		DQ082374	DQ082419					AY170096			AJ893549		
Ommatophoca rossii			GU174622								GU167627			GU167536	GU167300	GU167680				AY377225			DQ205824	GU167469	DQ205789	GU167654	GU167511	GU167864						GU167296				AY377287	
Prionodon linsang	DQ086461		GU930978							GU931048		JN414154				GU930841								JN414782		DQ081767		DQ082368	DQ082413					AF125141					
Cuon alpinus	AB622132		DQ240366									DQ240400											AY885382		AY885358						DQ240798			AF028137					
Caracal caracal	DQ086452							DQ082521										AF006390								DQ081749		DQ082349	DQ082394				AF252992						
Lobodon carcinophaga			GU174623								GU167697			GU167851	AY377348	GU167682				AY377223			DQ205819	DQ205896	DQ205784	GU167655	GU167836	GU167565						AY377321				AY377286	
Prionailurus viverrinus	DQ086451							DQ082514										AF006452	AB210265							DQ081740		DQ082340	DQ082385				AF252978	FJ594959					
Potos flavus		U78344	DQ660201								DQ660187			DQ660264		GU930880		DQ660236					DQ205803		GU931108		GU931202	DQ660277						DQ660304				L21886	
Aonyx cinerea		U78327	EF987607								AB285334		JN587090	AB285380				JQ038846					AF498185		AF498161		EF987934	EF472415			AB285388			AF057119					
Speothos venaticus	AB622138		DQ240376									DQ240410											AY885397		AY885373						DQ240808			AF028155					
Lycaon pictus			DQ240367									DQ240401											AY885394		AY885370						DQ240799			S69130	EU041890				
Chrysocyon brachyurus	AB622137		DQ240365									DQ240399					EF440365					EF440402	AY885384		AY885360						DQ240797			AF028139					
Mustela frenata			EF987621								EF472296	EF472313		EF472412				EF472383							AF498170			EF472425						JQ316836				AF068556	
Felis chaus	DQ086432							DQ082509										GU561684								DQ081735		DQ082335	DQ082380				AF253013	JQ245445					
Neofelis nebulosa	DQ086442							DQ082539													AY634373					DQ081766		DQ082367	DQ082412				AF252979	EF434742			HM231294		
Martes pennanti			EF987633								AB285336	EF987660		AB285382		EF987508							AF498197		AF498173			EF988004			AB285397			AF448248					
Otocolobus manul	DQ086458							DQ082511										AF006432			AY634375					DQ081737		DQ082337	DQ082382				AF252995				HM231296		
Lynx rufus	DQ086446							AY750602										AF006418	EU161942							DQ081748		DQ082348	DQ082393				AF252975	GU175436					
Martes flavigula			EF987629								AB193409	EF987656		AB109342		EF987504					AY726655		EF987782		EF987765			EF988000			AB285393			AB564116					
Phoca groenlandica			GU174619		GQ438614	GQ438657	GQ438719							AB302264	AY377358					AY377237			DQ205825	DQ205901	GU167429	GU167703	GU167508	GU167561						X82303				GU174596	
Arctonyx collaris			EF987639								AB288847	EF987666		AB288850		EF987515							AF498204		AF498180		EF987966	EF988009			AB288851			AB049810					
Catopuma temminckii	DQ086454							DQ082532										AF006448			AY634369					DQ081760		DQ082360	DQ082405				AF252984	FJ594957					
Erignathus barbatus			GU174621								GU167626			GU167841	AY377356	GU167598				AY377235	AY882057		DQ205817	DQ205894	GU167783	GU167653	GU167826	GU167856						X82295		JX134279		GU174598	
Melogale moschata			EF987642								AB193405	EF987669		AB109357		EF987517							AF498205		AF498181		EF987969	EF988012			AB285401			AF498158					
Hydrurga leptonyx			GU174625								GU167696			GU167539	AY377350	GU167681				AY377227			DQ205818	DQ205895	GU167433	GU167711	GU167835	GU167865						X82297		U03590		AY377288	
Helarctos malayanus	AB261819		AF002240												AY598589					AY598593				AY303839	AM748324						AM748292			U18899				L21882	
Suricata suricatta			GU930982						AY170054	GU931052	GU930888	JN414157	JN587110	JQ073171		GU930846					FJ391210			AY170084		DQ081770		DQ082371	DQ082416					AY170111	EU041900		AJ893548		
Pusa hispida			GU174616		GQ438616	GQ438659	GQ438721				GU167690			GU167844	AY377359	GU167675				AY377238			DQ205823	GU167464	GU167426	GU167705	GU167829	GU167859						X82304				GU174593	
Urocyon cinereoargenteus	JN663893	U78348	GU930994							GU931065	GU930896	DQ240411				GU930859							AY885398		GU931098	GU930917	GU931182				DQ240809			JF489121				JN393213	
Arctocephalus forsteri			JN633372							GU931076	GU167636			GU167545			EF440363						GU931125		DQ205777	GU167663		GU931267			JN415048			X82293				Y08527	
Lynx lynx	DQ086448		GU930975					DQ082519		GU931045								AF006414	JN084446		AY634377					DQ081746		DQ082346	DQ082391				AF252974	EU818857	EU041884		HM231295		
Puma concolor	DQ086443								AY598489				JN587107		AY598488								DQ205831			DQ081742		DQ082342	DQ082387				AF252988	AF499775	EU366998				
Gulo gulo		U78333	EF987635								AB193407	EF987662		AB109340	AY377364	EF987510							AF498198		AF498174		EF987962	EF988006			AB285390			X94921					
Acinonyx jubatus	DQ086444	DQ983924	GU930974					DQ082517		GU931044						GU930839		AF241817				EF440401				DQ081744		DQ082344	DQ082389				AF252986	AF348639	EU041886				
Crocuta crocuta	DQ086462		JN633371					AF039728		GU931049		JN414158	JN587093									EF440404		AY170087		DQ081768		DQ082369	DQ082414					AY170114	EU041897		AY128705		
Leptonychotes weddellii			GU174624								GU167698			GU167852	AY377351	GU167683				AY377229				DQ205903	DQ205792	GU167656	GU167837	GU167566						AY377324		U03579		Y08522	
Ursus thibetanus	AB261818		DQ093584											AB371340			EF440397							AY303841	AM748326						AB371352			U23558			HM231300	L21890	
Nyctereutes procyonoides	AB622139		DQ240368	GQ438508	GQ438610	GQ438653	GQ438715				GU930895	DQ240402				GU930858							AY885395		GU931097	GU930916	GU931181				DQ240800			EU642445					
Leopardus pardalis	DQ086425	U78331	AY011497					DQ082524		GU931046	AB193431	AB371334				AY011247		AF006416								DQ081752	AY011859	DQ082352	DQ082397				AF252970	AF129715					
Taxidea taxus		U78347	DQ660208							GU931075	AB285341	AB285368		AB285387	AY598567	GU930871		DQ660243					AF498203		AF498179	GU930928	GU931193	DQ660284			AB285414			AF057132					
Mirounga angustirostris			GU931008							GU931078	GU167699			GU167853	AY377352	GU167684	EF440384			AY377231		EF440419	GU931128	DQ205897	DQ093092	GU930932	GU167839	GU931270						AY377325		U03599		GU174601	
Ursus maritimus	AB261816																EF440396							AY303843	JX971784						JX971843			X82309				L22164	
Enhydra lutris		U78330	DQ660204							GU931069	AB193403	EF472303		AB109355	GU167303	GU167612		JQ038845					AF498186	AB082978	AF498162	GU167667	DQ660253	DQ660280			AB285389			AB601556				Y08512	
Lontra canadensis		U78335	EF987608	GQ438524	GQ438628	GQ438671	GQ438733			GU931070	AB285335			AB285381	AY598556	GU930866		JQ038848					AF498187		AF498163	GU930923	GU931188	EF472416			AB285391			AF057121					
Halichoerus grypus			GU167719	GQ438513	GQ438617	GQ438660	GQ438722				GU167689		JN587096	GU167531	GU167297	GU167674				GU167323			DQ205826	DQ205902	GU167427	GU167704	GU167828	GU167858						GU167293		AM287234		GU174594	
Lutra lutra	AB491606	EF472276	EF987611	GQ438523	GQ438627	GQ438670	GQ438732				AB564045			AB564051				EF472377					AB564049		AB564048			EF472419			AB564054			EF689067	EU041892			HQ848946	
Uncia uncia	DQ086440							DQ082538											EF458634		AY634370					DQ081765		DQ082366	DQ082411					JX177501	EU041887		HM231297		
Mustela nivalis	AB491603		EF987624		GQ438625	GQ438668	GQ438730				AB193417	EF987650		AB109350	GU167301	GU167610									EF987761	GU167665	GU167522	EF987995			AB285409			JN860931				AB119065	
Zalophus californianus		U78350	GU931006	GQ438510	GQ438612	GQ438655	GQ438717			GU931077	AF548424		JN587113	AB302263							AY726649		GU931126	AB365083	GU931102	GU930930		GU931268						AM422176				Y08525	
Ailurus fulgens			GU931010							GU931080	AB193430	AB371329	JN587089		AY598523	GU930877						EF440400	GU931130	AB188520	GU931106	GU930934	GU931199	GU931272			AB371361				EU041896			Y08511	
Mephitis mephitis		U78338	GU930995	GQ438516	GQ438620	GQ438663	GQ438725			GU931066	AB193406	AB371327	JN587098	AB109358	AY598534	GU930860							GU931122	AB109331		GU930918		GU931255			JN415044			X94927				Y08517	
Panthera onca	DQ086441		AY011498					DQ082537		GU931047	AB371315	AB371332				AY011248										DQ081764	AY011860	DQ082365	DQ082410				AF253008	HM107682	EU041881				
Panthera tigris	DQ086439							DQ082536	AY750645		AB193434	AB371330							JQ040897		AY634372			AB109338		DQ081763		DQ082364	DQ082409				AF253010	AF053053	EU041888				
Procyon lotor		AB462091	DQ660203	GQ438515	GQ438619	GQ438662	GQ438724			GU931082	AB193427	AB285371	JN587109	AB109359	AB462169	GU930881	EF440390	DQ660238		AB462077		EF440423	AF498207	AB082981	AF498183	GU930937	GU931203	DQ660279			AB285417			AB462123				Y08510	
Neovison vison	AB491605		DQ660205	GQ438520	GQ438624	GQ438667	GQ438729			GU931073	AB193421	EF472314		AB109354	AY377365	GU930869		EF472384							AF498171	GU930926	DQ660254	DQ660281			AB285413			AB026109				AB119074	
Meles meles		U78337	EF987640	GQ438517	GQ438621	GQ438664	GQ438726			GU931072		EF987667		GU167548	GU167302	GU167611									AF498178	GU167666	GU167523	EF988010			AB285400			AB049807	EU041898			AB119077	
Odobenus rosmarus		U78343	GU931009	GQ438509	GQ438611	GQ438654	GQ438716			GU931079	GU167634		JN587101	GU167543	AY377361	GU167606							GU931129	DQ205892	DQ093093	GU167661	GU167518	GU931271			JN415047							GU174604	
Ailuropoda melanoleuca	AB261822		U56638							GU931084			JN587088	AB302262		GU930883								AY303836	DQ093091	GU930939	GU931205	GU931278			JN415051			U23552			HM231301	AB302320	
